property_name,location,city,country,latitude,longitude,price_per_night,host_name,host_response_vibe,rating,reviews_count,scare_score,weirdness_score,wifi_reliability,ghost_sighting_frequency,max_guests,amenities,tagline,house_rules,last_review_snippet
The Haunted Lighthouse,Whitby Clifftop,Whitby,GB,54.486252,-0.613941,89,Captain Grimshaw,Speaks only in nautical metaphors,4.2,187,8,5,Drops during storms,"Weekly (Tuesdays, specifically)",2,"Lantern room access, foghorn alarm clock, spiral staircase, ghost logbook",Where the sea meets the screams.,No loud noises after 10pm — the lighthouse keeper gets agitated. Do not touch the logbook.,The foghorn goes off at 3am. Every. Single. Night. But the sunrise almost makes up for it.
The Suspiciously Cheap Chateau,Loire Valley outskirts,Amboise,FR,47.412222,0.982778,12,Monsieur X,Replies in exactly 13 words,3.9,42,6,9,Perfect (suspiciously so),Rare but memorable,8,"Grand ballroom, suspicious stains on ceiling, free wine (origin unknown), 47 rooms (only 3 accessible)",Too good to be true. Literally.,Never open the door at the end of the east wing. Never ask about the wine. Never count the rooms.,For twelve dollars a night you get a CHATEAU. I didn't ask questions and neither should you.
Cryptid Cabin,Blue Ridge Mountains,Asheville,US,35.595058,-82.551487,74,Mothman Mike,Communicates primarily through riddles,4.7,156,7,8,Works when Mothman isn't around,Monthly (full moon),4,"Trail access, night-vision binoculars, cryptid field guide, reinforced door",You'll believe when you see the eyes in the trees.,Lights out by midnight — not for you but for THEM. Store all food in the cryptid-proof locker. Don't whistle.,Saw something in the treeline on night two. Mike just nodded and said 'They like you.' 5 stars.
The Possessed Penthouse,Manhattan rooftop,New York,US,40.758896,-73.985130,299,The Previous Tenant,Leaves Post-it notes everywhere,4.0,93,9,7,Excellent but devices act strange,Daily (elevator mostly),2,"Skyline views, self-playing piano, Post-it archive room, complimentary sage bundle",The views are to die for. Some already have.,The piano plays itself between 2-4am. This is normal. Do not attempt to unplug it.,I found a Post-it that said 'GET OUT' but then another that said 'just kidding stay for brunch.' Very mixed signals.
Nonna's Cursed Cottage,Tuscan hillside,Cortona,IT,43.275089,11.985200,65,Nonna Maledetta,Guilt trips and blessings in equal measure,4.9,234,3,6,Excellent,Nonna herself (she's not dead she's just Like That),6,"Wood-fired oven, cursed olive grove, Nonna's cooking lessons, protective amulet",Come for the pasta. Stay because Nonna won't let you leave.,You WILL eat three meals. You WILL compliment the sauce. Leaving early brings seven years bad luck. Nonna's rules.,Nonna made me eat until I couldn't move then told me my aura was 'acceptable.' Best trip of my life.
The Vampire's Villa,Carpathian foothills,Bran,RO,45.515102,25.367260,108,Count Comfortable,Formal but warm — literally sends wax-sealed letters,4.5,178,8,4,None (the Count prefers candlelight),Nightly (the Count takes evening strolls),4,"Candlelit everything, cape closet, blood-red wine cellar, coffin-shaped hot tub",Rest well. You'll need your strength.,No garlic in the kitchen. Mirrors have been removed for your comfort. Checkout is strictly before dawn.,The Count left a handwritten note welcoming us and a bottle of wine that was INCREDIBLE. Didn't see him but heard footsteps all night.
The Witch's Cottage,Bavarian forest,Rothenburg,DE,49.376862,10.178780,55,Hilde Hexenhaus,Rhyming couplets only,4.3,89,5,9,Spotty (the herbs interfere),Seasonal (Walpurgis Night),3,"Herb garden, cauldron kitchen, broomstick parking, potion-making workshop",Bubble bubble no real trouble.,Don't eat the gingerbread walls. The cat is not a cat. Curfew at sundown unless you know the password.,Hilde taught me to make a 'relaxation potion' that was honestly just really good tea. The cottage smells amazing.
The Bermuda B&B,Oceanfront,Hamilton,BM,32.294816,-64.781375,145,Captain Vanessa,Sometimes mid-sentence she just,4.1,67,7,10,Intermittent (things disappear),Unpredictable,4,"Ocean views, compass room (compasses don't work), time-slip sundeck, missing persons board (decorative?)",Check in anytime. Checking out is trickier.,Keep your belongings labeled. Time may not pass normally on the sundeck. If Captain Vanessa disappears mid-conversation just wait.,My watch stopped working on day one. Lost two socks and a phone charger. Found someone else's passport from 1987. Weird but fun.
The Poltergeist Pub,Historic quarter,Edinburgh,GB,55.953251,-3.188267,78,Angus McRattle,Aggressive Scottish hospitality,4.6,203,6,5,Good (poltergeist likes streaming),Daily (afternoon tea time specifically),6,"Full bar, flying furniture (secured), jukebox that plays itself, ghost tour included",Have a pint. The spirits are on the house.,Duck when Angus yells 'INCOMING.' Don't sit in the third barstool. Tip your ghostly bartender.,A pint glass flew across the room and landed perfectly on our table full of beer. Best pub service I've ever had.
The Doll Collector's Manor,Victorian estate,Salem,US,42.519539,-70.896713,92,Miss Penelope Buttons,Speaks as if narrating a children's show,3.8,134,9,10,Good,The dolls don't technically count as ghosts,3,"Doll museum, sewing room, tea party room (dolls attend), one room you must never enter",They're watching. They're always watching.,Don't rearrange the dolls. Don't comment on the dolls. Don't make eye contact with Margaret (you'll know which one).,I swear Margaret moved. Penelope said 'Margaret likes you' and I still don't know if that's good or bad. Can't sleep.
The Underground Hotel,Converted mine shaft,Coober Pedy,AU,-29.012677,134.752510,48,Dusty Dave,Laconic one-word answers,4.4,98,4,7,Surprisingly good,None (too deep for ghosts),2,"Constant cool temperature, mining museum, opal hunting, absolute silence",The deepest sleep you'll never forget.,Sound carries. Whisper only. Don't dig without permission. If you find opals they're yours but Dave gets first look.,It's literally underground and the silence is INTENSE. Slept like the dead. Dusty Dave said 'good' when I checked out. High praise apparently.
The Alien Airstream,Desert roadside,Rachel,US,37.645078,-115.744278,35,Cosmic Ray,Uses only space metaphors and alien emoji in texts,4.0,56,3,10,Satellite internet (from where though?),Not ghosts but... something,2,"Telescope, tin foil hat collection, cosmic ray detector, desert stargazing deck",The truth is in here.,Don't signal anything after dark. The tin foil hats are decorative. Mostly. What you see in the sky stays in the sky.,Ray texted me '👽🛸 transmission received 🛸👽' when I booked. The stars out here are UNREAL. Heard humming at 3am.
The Screaming Chalet,Alpine peak,Interlaken,CH,46.686350,7.863080,175,Klaus Schreier,VERY enthusiastic about everything (all caps texts),4.8,145,5,3,Excellent,None (too high up),6,"Mountain views, echo chamber balcony, yodeling lessons, fondue for days",The mountains scream back.,Yodeling encouraged before 9pm. Fondue is mandatory. Do not try to out-scream the mountain. Klaus tried. Klaus lost.,Klaus made us yodel off the balcony at sunset and the echo was INCREDIBLE. Best fondue of my life. Not scary at all just LOUD.
The Kraken's Keep,Coastal fortress,Alesund,NO,62.472229,6.149482,130,Bjorn Tentakelson,Dramatic pauses... between... every... phrase,4.3,112,7,6,Weather dependent,Something surfaces monthly,4,"Fjord views, tentacle-themed decor, submarine periscope, kraken watch tower",From the deep it calls.,Don't swim after dark. Don't throw food in the fjord (it encourages them). Record any unusual wave patterns in the logbook.,The periscope is supposedly decorative but I SAW SOMETHING. Bjorn just did his dramatic pause thing and said 'She... feeds... at dusk.'
